food_id,food_name,food_category,food_description,veg_non,diet,price,height,weight,disease,diet_plan,diet_goal
1,summer squash salad,salad,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves",Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,485,64.35154358,88.41105837,Hypertension,Keto,cure disease
2,chicken minced salad,salad,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts",Non-Veg, low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,600,59.97411453,97.43549156,Asthma,Dairy-Free,weight loss
3,sweet chilli almonds,chilli,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder",Veg, alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,255,73.07968701,65.05448542,Asthma,Dairy-Free,maintain body
4,tricolour salad,salad,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts",Veg, low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet,615,74.30604118,53.23117382,Asthma,Gluten-Free,weight loss
5,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",Veg, high_protien_diet,465,63.90686713,58.08874422,Hypertension,Gluten-Free,cure disease
6,japanese curry arancini with  barley salsa,barley,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",Veg, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,630,64.10096756,96.33511626,Hypertension,Keto,maintain body
7,chocolate nero cookies,cookie,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",Veg, high_protien_diet high_fiber_diet ketogenic_diet,475,61.67865465,86.45486935,None,Veg,cure disease
8,lamb and chargrilled bell pepper soup,soup,"lamb bones (preferably shank and shoulder), onions, celery, ginger, garlic, carrot, chargrilled red/yellow/green bell peppers (quartered), whole spices mix (black pepper, cinnamon, cardamom, clove, bay leaf), salt, water (warm), oil (sunflower or olive",Non-Veg, alkaline_diet,340,63.56654921,93.72700917,Asthma,Dairy-Free,weight gain
9,cream of almond soup,soup,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes",Veg, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,290,72.54047272,50.61175473,Diabetes,Veg,cure disease
10,broccoli and almond soup,soup,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper",Veg, alkaline_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet,515,59.93905705,99.11972873,None,Keto,maintain body
